s1-tip-p8-r1 tree=art:dc7c1488f075b35e9a6472f0eb273ec4b1ebaa53b88d41144a6a77b4134771fd result=art:7775888d1ece413d81e65cb3d2c47d9d626eadca7aa2412d21f0f587c36e0167
s5-s3-p8-r4 tree=none result=art:8b57609d19928ccd5fc4ce9af6191ffb72e8ef14d8d047549ef4d5a7b611fa3b
reverify s5 (--by arith): art:def461c7 PASS -> art:39382cd4; art:bb75ba4f PASS -> art:171af5c1; art:d2b01b3f PASS -> art:04e43e2e; art:f3978133 PASS -> art:51788c35
h8-tip-r1 tree=art:db78aa36c0d220ffc3cf4dc6aceeb9b07f72db74f5fe13e49a5ffd48046d375a result=art:e9ae289ce98e5148d8b6c6232a15265ce2f7ed9336981df38ecd0689788cc819
h8-base-r1 tree=none result=art:e1a11597a223888861c40132f0ae55839e134dfbfc524d9400c24abbbf889bc2
h8-tip-r2 tree=art:e66c0876e33eadfcc55711720c6bbe5eb0757874e2b023474937b40caff417da result=art:c6271278162b3d9350736128bf7ea8969c80ee43a993617fd0a4e503ffffa844
h8-base-r2 tree=none result=art:ba74492e2765254f3f39e9cb1cd2084869704668b81efb1e97fbe226cd6c6c25
h8-tip-r3 tree=art:49670a464c3f52d031909e3b5eba0fbacd208b518aca2f28cbe817997c78fe1a result=art:8182f9ae4eb5f78f16bfc2faa2aa7be28baf835d395046ab1582b5542ed289a8
h8-base-r3 tree=none result=art:27cbd1529702f271b930827920734cc0bb34fa4dc71838ee93630063ab084931
h8-tip-r4 tree=art:44157279b348f2e9a817c77986d6a592dc8980f703287fce393a30373aeddd2b result=art:efd871f653901528dcd22cd761359f3563878cc2d6c4a4c43c9affa61ff2ba5d
h8-base-r4 tree=none result=art:dc10aedc3f198fd718867a0d8a6caa5dbf7d87502206b234072b2e797c313197
h8-tip-r5 tree=art:91544133b4fbc86580c7878d2d0282ae364033df64635607adf5b74624b4c23e result=art:7a8443b4d8102a767efa8605467447ae64b540d5521abb633241aeb6c83c82cf
h8-base-r5 tree=none result=art:dc1390dd23383b5c791aec966cb40f295c9274205c2c331da8fdeaf59f9043a9
h8-tip-r6 tree=art:7d444e586525a2dca2f52ad5aa370b8290d7914bbb1931368c7faea93247b7be result=art:709ab20c51540d02d80cb6b44f15193ad11e4066ff69bb92a18b935ccc0dc0dd
h8-base-r6 tree=none result=art:c454adc24d4ca3e02ff6fde0e13697e885e7470f67e070bf421cd8aa6029140b
h16-tip-r1 tree=art:508debf569536ce72a55fb9b331e05e4961ed74a71669d0541dc510a2ca82764 result=art:415d6cde28670ecc8e4bb116d204fe7492578fd2bdad0984196142f3d189e45e
h16-base-r1 tree=none result=art:d9d11a5f8e3d7bdfa63cd5ff6646f6bda3985f204266525ae4d6420e14fb658d
h16-tip-r2 tree=art:5ca5f55fd47b72417a933c9fa80e4da85f301a634e766b5d19bf83d80feccec6 result=art:b23719dd4b2d4b323f3fafddb5609bf591cb42608a4abb9f43ec17ac7a9aa449
h16-base-r2 tree=none result=art:140e12b22c4eeb7e964a399bdbf607b5c67e64399da65b4c8ad1baedc62770cf
h16-tip-r3 tree=art:71c5caca5c8e96362d2c7f214715b345682c0a0548b9c876677f42ee8c8626de result=art:16feee34466b1458ff685d932b1d59660a1e54099b1df4a60323280c8a87f492
h16-base-r3 tree=none result=art:5c2da3615f874ce80787732f59250552a1e3182059d9bec8f5457b7c710e7467
h16L-tip-r1 tree=art:59ad8193bf4cb92d23d2939e7942f098a39bb0d7845d92c6fc5447305dc6588b result=art:e336225676820478ea8f93c1922fe17c975b326ac6d918b6d8164f95ca6f339c
h16L-base-r1 tree=none result=art:ad0aa09385fded23b4747947796c292967b3e836ded1d9f4c2a7515018530036
hsy-tip-r1 tree=none result=art:0c4077bf870cee8d13385e898709d32f5fe231a8233aa403e4358da0e08971f1
h16L-tip-r2 tree=art:4ce9ad2cb2a3c9be86f14458262143f76cd49fff8055111304a74243015155d8 result=art:064a3a75070beaaf5ca58ac434d6b95a6ec61db2c9a2c1408f522306c7f863eb
h16L-base-r2 tree=none result=art:1e6f709454fec94a9312deb9baefb75e51270500a1f91936be264ca530570c45
hsy-tip-r2 tree=none result=art:ec47a304b3e85baec36ea1a5ab30fa0b2438921a769c88f8d6015cf0a1c7f3fb
h16L-tip-r3 tree=art:e955568b232df99933e54b5b6d8f53aa095cdaee20882493bed64d451a1caa9a result=art:593f8249c8c12285019fd55293368b97f202177a2d8eb3dc1e98c88d19409e60
h16L-base-r3 tree=none result=art:c15b440b1886984f8b4c97b6fe6650511b68c8a3585daf37dfc0f2056f41d4d8
hsy-tip-r3 tree=none result=art:975773b3c4296a930dc750ba21bcdbf5a1ba9832b43e75f76410ec4398884e09
h16L-tip-r4 tree=art:a1123912f4814d75cf7131be81ecff2ca58dac4fe5ed1fa120c6b0a0c8a934b6 result=art:debd7e1d6f5aef42103d9e38dbc8913b4f704821e7e6ba4a514762b4459d9829
h16L-base-r4 tree=none result=art:3add6aee14f978656280e8d77212e1404098a40e09b0f0cd87ade89748930ef3
hsy-tip-r4 tree=none result=art:4e839e59368c77f29de5d184191667960f4ff3cc3d2f4c90ecb1aefdbee5b040
a16-tip-r1 tree=art:61bc49022826473e959de5e09516e34e251a1c0cbd4ae2dc30b8ca12c6aa9ad6 result=art:5bcbf3fb67cbd1b49df2120b87e62b7643c44a39f780537cda3df682a9b7db52
a16-base-r1 tree=none result=art:31046cd87fdf9e750b100c744321031f5b15b2615429cac01157f2ebb1833727
a16-tip-r2 tree=art:bf3e9ac8a46503fa5d7f8e8f4ce9e5941588d613172354b81f31ca9d1b71c6fb result=art:b83f1ff0815bb6a767c01c1ee1b1220ac1a8ddad5cf4f4a0633d430be03e96a7
a16-base-r2 tree=none result=art:b32e79811fa7d8c2904809b888c7c235431a11f5df36971f7a5eb97ce21f00ed
a16-tip-r3 tree=art:4d0b8cde7f2070b4dd2a89fde80ba3ccbf98cb00c438160210c7b3e057e07c51 result=art:4e87bc8acbfff9630e3030e2cd176db6de17f9a1144b1f769bcd50152562443e
a16-base-r3 tree=none result=art:75f77e79b01d36811ef5b03128f34746291841d47eeb2b718c8efa2f20353c78
a16-tip-r4 tree=art:bfec2c1292f3eeefb08d70a1252786927ed18de07f5dd6feaf347ab9f6a730e9 result=art:228f07b15a1298e4b231bd06a9aa19e64e709ecbaa1cae89baa49909b37850ab
a16-base-r4 tree=none result=art:1fe99bf2d0b0ed06f54010438d5cf6667d688b3d5c3482c758359cb8422da4d2
