F check/test_gates_fixtures.py::test_card_json_roundtrip_and_schema | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/out/gen/cards/SCHEMA.md'
F harness/test_source_identity.py::test_precheck_passes_with_matching_veritor_repo_and_sha[integration] | assert None
F harness/test_source_identity.py::test_negative_requested_sha_mismatch_fails_by_name | AssertionError: assert (0 == 3)  +  where 0 = CompletedProcess(args=['/workspace/venv312/bin/python', '-m', 'verity_vllm.harness.source_identity', '--sha', '000
F harness/test_source_identity.py::test_repo_root_resolution_prefers_export_json_then_git_then_markers | AssertionError: assert None == '/workspace/base'  +  where None = <function repo_root_of at 0x71c0e024c220>(PosixPath('/workspace/base/integrations/vllm/verity_
F program/test_norm_chain.py::test_mean_pins_match_installed_vllm | AssertionError: ('src_sha256', 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', '94b6a25ba19f2471ae2dc06c49edbcc3a0937ccbe47d1f716cf393155caf
F observe/test_gen_sampling.py::test_load_workload_honours_sampling_block_and_keeps_greedy_default | NameError: name 'execution_of_workload' is not defined
F harness/test_release_json.py::test_pod_release_sh_writes_through_the_module_and_checks | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/verity_vllm/ops/pod_release.sh'
F harness/test_release_json.py::test_pod_release_busy_pattern_names_the_stage_processes_launched_outside_row_pod | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/verity_vllm/ops/pod_release.sh'
F observe/test_gen_ov_easy.py::test_serve_untied_is_not_registered_and_binds_from_the_profile_config | AssertionError: assert ['embed', 'la...n', 'lm_head'] == ['embed', 'la...m', 'cos_sin']      Left contains one more item: 'lm_head'   Use -v to get more diff
F observe/test_gen_ov_easy.py::test_serve_untied_differs_from_serve_v4_only_at_the_lm_head_operands | AssertionError: [] assert 0 == (2 + 1)  +  where 0 = len([])
E program/test_applicability.py::test_program_digest_of_b0_8_4_unchanged_and_cross_host | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_i_same_digest_different_identity_manifest_reports_applied[cap80_108-cap0-108] | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_i_same_digest_different_identity_manifest_reports_applied[sms132-cap1-132] | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_i_b_capability_applied_only_around_the_export_is_refused | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_ii_consistently_changed_target_is_refused_verbatim[cap100-numerics_unregistered: no registered GEMM specialization for target cc 10.0 (tuned_gemm_arch_family='blackwell')-applied0] | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_ii_consistently_changed_target_is_refused_verbatim[triton_attn-numerics_unregistered: attention impl='vllm.v1.attention.backends.triton_attn.TritonAttentionImpl' (observed on layer 'model.layers.0.self_attn.attn') differs from the target's 'vllm.v1.attention.backends.flash_attn.FlashAttentionImpl'-applied1] | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_iv_hopper_target_binds_the_registered_hopper_definitions[cap90-3-Attention_v2{T,NH,KVH,D,BN=fa3_kblock_n(D,seqlen_q,NH/KVH),DOT=HopperBF16WgmmaDot16_v1,INV=Fa3InvSum_v1}-bi-eager] | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_iv_hopper_target_binds_the_registered_hopper_definitions[cap90_fa2-2-Attention_v2{T,NH,KVH,D,BN=fa2_kblock_n(D),DOT=HopperBF16WgmmaDot16_v1,INV=Fa2InvSum_v1}-bi-eager-fa2] | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_iii_identity_is_host_independent | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_case_iv_reuse_under_mismatched_profile_is_rejected | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
E program/test_applicability.py::test_dead_env_var_is_recorded_as_ignored_not_declared | failed on setup with "FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-root/pytest-3/popen-gw5/cbfix0/base/result.json'"
F program/test_sampling_rows.py::test_nv_logf_and_nv_log1pf_are_word_equal_to_the_libdevice_transcriptions_on_every_non_nan_word | AssertionError: ('nv_logf', '0xcfbec2f8', '0x7fc00000', '0xffc00000') assert 2143289344 == 4290772992
F harness/test_admit_r19_host_working_set.py::test_forked_children_inherit_a_frozen_heap_and_the_parent_unfreezes_after_the_pool_joins | assert 375 == 0  +  where 375 = <built-in function get_freeze_count>()  +    where <built-in function get_freeze_count> = gc.get_freeze_count
F harness/test_admit_r19_host_working_set.py::test_fork_gc_freeze_opt_out_is_named_on_the_record | assert False  +  where False = all(<generator object test_fork_gc_freeze_opt_out_is_named_on_the_record.<locals>.<genexpr> at 0x73a989af4c80>)
F input_provenance/test_analytic.py::test_check_cos_sin_against_the_captured_b0_table | assert (29154 <= 2)
F acquire/test_native_jit_keying.py::test_pod_release_fails_closed_on_a_stale_so_and_records_the_digest | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/tests/acquire/../sweep/pod_release.sh'
F acquire/test_compiled_source.py::test_renumber_assigns_invocations_per_call_site | torch.AcceleratorError: CUDA error: CUDA driver version is insufficient for CUDA runtime version Search for `cudaErrorInsufficientDriver' in https://docs.nvidia
F program/test_ship_roots.py::test_ship_roots_name_out_gen_hf_configs | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/record_v5/ship.sh'
F program/test_ship_roots.py::test_r17_sparse_patterns_re_include_hf_configs | FileNotFoundError: [Errno 2] No such file or directory: '/workspace/base/integrations/vllm/out/gen/r17/sparse-patterns.txt'
F observe/test_cov_difr_b0.py::test_t1_workloads_load_as_seeded_temperature_one_headers | NameError: name 'execution_of_workload' is not defined
F program/test_derive_realhf.py::test_realhf_case[llama-sdpa-bf16-tie0-fwd] | AssertionError: llama-sdpa-bf16-tie0-fwd: derived program disagrees with torch CPU: {'evaluated': True, 'words': 1024, 'exact_words': 294, 'bit_exact': False, '
F program/test_derive_hf5b_realhf.py::test_hf5b_case[llama-sdpa-f32-tie1-greedy] | AssertionError: ('llama-sdpa-f32-tie1-greedy', 'b95d27f1f80a56445cdbadcfe3800df0f585dffa4e059e23826364c4ed019db7', '538319a3770a') assert False  +  where False 
F program/test_derive_realhf.py::test_realhf_case[qwen2-sdpa-bf16-tie0-fwd] | AssertionError: qwen2-sdpa-bf16-tie0-fwd: derived program disagrees with torch CPU: {'evaluated': True, 'words': 1024, 'exact_words': 245, 'bit_exact': False, '
F program/test_derive_hf5b_realhf.py::test_hf5b_case[qwen2-sdpa-f32-tie1-greedy] | AssertionError: ('qwen2-sdpa-f32-tie1-greedy', '38a35673ceb9347db3e73e29562fca98047ba86bc2126d3b955f41770c52c5ef', 'e9d32625a99b') assert False  +  where False 
F program/test_derive_hf5b_realhf.py::test_hf5b_case[gpt2-sdpa-f32-tie1-greedy-gelu_pytorch_tanh] | AssertionError: ('gpt2-sdpa-f32-tie1-greedy-gelu_pytorch_tanh', 'df10ea4b096188d5a4710586f10d8ea4bd8384ef7484cd5749ad70a7466da503', '03925eb18841') assert False
F program/test_derive_hf5b_realhf.py::test_hf5b_case[qwen3-sdpa-f32-tie1-greedy] | AssertionError: ('qwen3-sdpa-f32-tie1-greedy', '06fc85bb2911c167c12b5973ac7b9b3775557a4cf0b501570283e87da920457e', '46ed593f82a3') assert False  +  where False 
F program/test_derive_realhf.py::test_realhf_case[mistral-sdpa-bf16-tie0-fwd] | AssertionError: mistral-sdpa-bf16-tie0-fwd: derived program disagrees with torch CPU: {'evaluated': True, 'words': 1024, 'exact_words': 294, 'bit_exact': False,
F program/test_derive_realhf.py::test_realhf_case[gpt2-sdpa-bf16-tie1-greedy-gelu_pytorch_tanh] | AssertionError: gpt2-sdpa-bf16-tie1-greedy-gelu_pytorch_tanh: derived program disagrees with torch CPU: {'evaluated': True, 'words': 5, 'exact_words': 2, 'bit_e
